0,10001,0.0,12
1,20001,0.0,12
2,30001,0.0,12
3,40001,0.0,12
4,50001,0.0,12
5,60001,0.0,12
6,70001,3.3943,12
7,80001,2.572,12
8,90001,3.9207,12
9,100001,2.3987,12
10,110001,0.0,12
11,120001,0.0,12
12,130001,0.0,12
13,140001,0.0,12
14,150001,0.8445,12
15,160001,2.6597,12
16,170001,4.1969,12
17,180001,3.4647,12
18,190001,3.0777,12
19,200001,1.715,12
20,210001,3.5487,12
21,220001,2.9679,12
22,230001,5.705,12
23,240001,5.6717,12
24,250001,5.572,12
25,260001,4.0848,12
26,270001,4.3313,12
27,280001,4.7543,12
28,290001,4.2717,12
29,300001,4.9153,12
30,310001,4.7123,12
31,320001,2.7858,12
32,330001,3.6896,12
33,340001,2.0383,12
34,350001,3.1002,12
35,360001,4.5759,12
36,370001,2.6754,12
37,380001,3.5679,12
38,390001,2.4544,12
39,400001,1.9106,12
40,410001,2.5242,12
41,420001,4.6484,12
42,430001,4.0059,12
43,440001,5.0516,12
44,450001,4.3447,12
45,460001,6.4095,12
46,470001,6.3861,12
47,480001,2.8384,12
48,490001,3.3093,12
49,500001,4.1203,12
50,510001,2.111,12
51,520001,5.7998,12
52,530001,6.4341,12
53,540001,4.5557,12
54,550001,5.1211,12
