0,10001,0.0,X
1,20001,0.0,X
2,30001,0.0,X
3,40001,0.0,X
4,50001,0.0,X
5,60001,0.0,X
6,70001,5.2065,X
7,80001,2.1441,X
8,90001,2.5384,X
9,100001,0.4076,X
10,110001,0.0,X
11,120001,0.0,X
12,130001,0.0,X
13,140001,0.0,X
14,150001,0.816,X
15,160001,2.5606,X
16,170001,4.7858,X
17,180001,4.2486,X
18,190001,4.602,X
19,200001,3.3371,X
20,210001,3.8795,X
21,220001,4.5511,X
22,230001,3.1743,X
23,240001,0.2912,X
24,250001,0.0,X
25,260001,0.0,X
26,270001,0.0,X
27,280001,0.0,X
28,290001,1.4809,X
29,300001,5.0235,X
30,310001,5.0386,X
31,320001,2.6862,X
32,330001,4.309,X
33,340001,4.0272,X
34,350001,3.1402,X
35,360001,3.8724,X
36,370001,4.3994,X
37,380001,1.5066,X
38,390001,1.7747,X
39,400001,5.207000000000001,X
40,410001,5.5516,X
41,420001,5.2447,X
42,430001,3.2653,X
43,440001,5.4301,X
44,450001,5.3046,X
0,10001,0.0,Y
1,20001,0.0,Y
2,30001,0.0,Y
3,40001,0.0,Y
4,50001,0.0,Y
5,60001,0.0,Y
6,70001,0.0,Y
7,80001,0.0,Y
8,90001,0.0,Y
9,100001,0.0,Y
10,110001,0.0,Y
11,120001,0.0,Y
12,130001,0.0,Y
13,140001,0.0,Y
14,150001,0.0,Y
15,160001,0.0,Y
16,170001,0.0,Y
17,180001,0.0,Y
18,190001,0.0,Y
19,200001,0.0,Y
20,210001,0.0,Y
21,220001,0.0,Y
22,230001,0.0,Y
23,240001,0.0,Y
24,250001,0.0,Y
25,260001,0.0,Y
26,270001,0.0,Y
27,280001,0.0,Y
28,290001,0.0,Y
29,300001,0.0,Y
30,310001,0.0,Y
31,320001,0.0,Y
32,330001,0.0,Y
33,340001,0.0,Y
34,350001,0.0,Y
35,360001,0.0,Y
36,370001,0.0,Y
37,380001,0.0,Y
0,10001,0.0,1
1,20001,2.0447,1
2,30001,3.6433,1
3,40001,5.4225,1
4,50001,4.6242,1
5,60001,4.4221,1
6,70001,3.8104,1
7,80001,3.6463,1
8,90001,2.6035,1
9,100001,2.2211,1
10,110001,1.8367,1
11,120001,0.7415,1
12,130001,2.5168,1
13,140001,5.0346,1
14,150001,3.6711,1
15,160001,5.4261,1
16,170001,3.1206,1
17,180001,2.9195,1
18,190001,0.0,1
19,200001,0.0,1
20,210001,0.0,1
21,220001,0.0,1
22,230001,0.8655,1
23,240001,5.4554,1
24,250001,4.7679,1
25,260001,7.4575,1
26,270001,4.9362,1
27,280001,0.0,1
28,290001,0.0,1
29,300001,0.0,1
30,310001,0.0,1
31,320001,1.0808,1
32,330001,5.0188,1
33,340001,5.4441,1
34,350001,3.1256,1
35,360001,3.6491,1
36,370001,6.5643,1
37,380001,4.4938,1
38,390001,4.2134,1
39,400001,2.8078,1
40,410001,3.6508,1
41,420001,4.091,1
42,430001,3.1689999999999996,1
43,440001,5.3724,1
44,450001,5.4957,1
45,460001,3.9327,1
46,470001,2.685,1
47,480001,0.3862,1
48,490001,0.0,1
49,500001,0.0,1
50,510001,0.0,1
51,520001,0.0,1
52,530001,6.9997,1
53,540001,3.1714,1
54,550001,4.2202,1
55,560001,5.3013,1
56,570001,3.8747,1
57,580001,4.9956,1
58,590001,2.9515,1
59,600001,2.3862,1
0,10001,0.0,2
1,20001,3.8137,2
2,30001,3.3245,2
3,40001,3.5494,2
4,50001,3.5838,2
5,60001,5.5776,2
6,70001,4.6203,2
7,80001,3.9028,2
8,90001,2.0367,2
9,100001,4.1102,2
10,110001,4.6179,2
11,120001,5.1011,2
12,130001,2.0661,2
13,140001,3.0859,2
14,150001,4.3503,2
15,160001,2.7783,2
16,170001,1.3589,2
17,180001,3.0589,2
18,190001,6.6626,2
19,200001,3.2811,2
20,210001,2.2554,2
21,220001,3.4365,2
22,230001,4.2424,2
23,240001,1.1669,2
24,250001,3.0512,2
25,260001,1.7337,2
26,270001,2.497,2
27,280001,1.4485,2
28,290001,1.5368,2
29,300001,0.7445,2
30,310001,2.1685,2
31,320001,3.2007,2
32,330001,3.1766,2
33,340001,5.4367,2
34,350001,7.7205,2
35,360001,6.1005,2
36,370001,1.3341,2
37,380001,2.7836,2
38,390001,3.0203,2
39,400001,1.1071,2
40,410001,1.6505,2
41,420001,2.7644,2
42,430001,2.9562,2
43,440001,4.3266,2
44,450001,3.6524,2
45,460001,4.6641,2
46,470001,1.7531,2
47,480001,1.8819,2
48,490001,2.1943,2
49,500001,3.6231,2
50,510001,1.4437,2
51,520001,3.7149,2
52,530001,3.5039,2
53,540001,3.7771,2
54,550001,2.5979,2
55,560001,1.9678,2
56,570001,4.1324,2
57,580001,2.7556,2
58,590001,5.3113,2
59,600001,5.6069,2
60,610001,1.9926,2
61,620001,2.7979,2
62,630001,3.0795,2
63,640001,3.3339,2
64,650001,4.7905,2
65,660001,3.2977,2
66,670001,1.4622,2
67,680001,3.3752,2
0,10001,0.0,3
1,20001,0.0,3
2,30001,0.0,3
3,40001,0.0,3
4,50001,0.0,3
5,60001,0.0,3
6,70001,3.6358,3
7,80001,3.0712,3
8,90001,2.3728,3
9,100001,2.8377,3
10,110001,3.3963,3
11,120001,2.3724,3
