0,10001,0.0,1
1,20001,2.0447,1
2,30001,3.6433,1
3,40001,5.4225,1
4,50001,4.6242,1
5,60001,4.4221,1
6,70001,3.8104,1
7,80001,3.6463,1
8,90001,2.6035,1
9,100001,2.2211,1
10,110001,1.8367,1
11,120001,0.7415,1
12,130001,2.5168,1
13,140001,5.0346,1
14,150001,3.6711,1
15,160001,5.4261,1
16,170001,3.1206,1
17,180001,2.9195,1
18,190001,0.0,1
19,200001,0.0,1
20,210001,0.0,1
21,220001,0.0,1
22,230001,0.8655,1
23,240001,5.4554,1
24,250001,4.7679,1
25,260001,7.4575,1
26,270001,4.9362,1
27,280001,0.0,1
28,290001,0.0,1
29,300001,0.0,1
30,310001,0.0,1
31,320001,1.0808,1
32,330001,5.0188,1
33,340001,5.4441,1
34,350001,3.1256,1
35,360001,3.6491,1
36,370001,6.5643,1
37,380001,4.4938,1
38,390001,4.2134,1
39,400001,2.8078,1
40,410001,3.6508,1
41,420001,4.091,1
42,430001,3.169,1
43,440001,5.3724,1
44,450001,5.4957,1
45,460001,3.9327,1
46,470001,2.685,1
47,480001,0.3862,1
48,490001,0.0,1
49,500001,0.0,1
50,510001,0.0,1
51,520001,0.0,1
52,530001,6.9997,1
53,540001,3.1714,1
54,550001,4.2202,1
55,560001,5.3013,1
56,570001,3.8747,1
57,580001,4.9956,1
58,590001,2.9515,1
59,600001,2.3862,1
